Ativo,Ativo Circulante,Cart. de Crédito,Depósitos,Disponibilidades,Dív. Bruta,Dív. Líquida,Patrim. Líq,ticker
2805560000.0,859558000.0,,,256140000.0,503210000.0,247070000.0,1858840000.0,FESA4
1692290000.0,849734000.0,,,28170000.0,1054690000.0,1026520000.0,-868315000.0,FHER3
5096650000.0,1485200000.0,,,804264000.0,1556410000.0,752146000.0,1758980000.0,FLRY3
1630720000.0,761274000.0,,,230408000.0,405893000.0,175485000.0,784832000.0,FRAS3
1534700000.0,1059420000.0,,,386962000.0,976101000.0,589139000.0,49651000.0,FRIO3
34307000.0,3615000.0,,,1520000.0,54555000.0,53035000.0,-68253000.0,FRTA3
1322230000.0,647848000.0,,,77623800.0,223694000.0,146071000.0,760840000.0,GBIO33
4726500000.0,1332540000.0,,,1165080000.0,1344310000.0,179224000.0,1853850000.0,GEPA3
4726500000.0,1332540000.0,,,1165080000.0,1344310000.0,179224000.0,1853850000.0,GEPA4
2566200000.0,1785060000.0,,,394216000.0,750826000.0,356610000.0,780159000.0,GFSA3
54003000000.0,18235700000.0,,,6294600000.0,16049900000.0,9755270000.0,26955700000.0,GGBR3
54003000000.0,18235700000.0,,,6294600000.0,16049900000.0,9755270000.0,26955700000.0,GGBR4
13148000000.0,5973380000.0,,,4799560000.0,2177940000.0,-2621630000.0,6370400000.0,GNDI3
54048700000.0,18278200000.0,,,6294660000.0,16049900000.0,9755200000.0,10014100000.0,GOAU3
54048700000.0,18278200000.0,,,6294660000.0,16049900000.0,9755200000.0,10014100000.0,GOAU4
15298400000.0,4927380000.0,,,2599190000.0,8409840000.0,5810650000.0,-7676670000.0,GOLL4
872669000.0,260582000.0,,,9752000.0,174618000.0,164866000.0,179091000.0,GPCP3
3401640000.0,756884000.0,,,705191000.0,0.0,-705191000.0,1345380000.0,GPIV33
4064450000.0,2654720000.0,,,1332410000.0,175165000.0,-1157250000.0,3682440000.0,GRND3
1686170000.0,435886000.0,,,348596000.0,1313900000.0,965305000.0,-46424000.0,GSHP3
12602500000.0,7509240000.0,,,1569490000.0,2825500000.0,1256010000.0,5224590000.0,GUAR3
57193300.0,46240800.0,,,35449700.0,44341200.0,8891540.0,-81209100.0,HAGA3
57193300.0,46240800.0,,,35449700.0,44341200.0,8891540.0,-81209100.0,HAGA4
10896100000.0,1934210000.0,,,1321210000.0,2017750000.0,696542000.0,6708230000.0,HAPV3
4320170000.0,3061420000.0,,,337260000.0,1759850000.0,1422590000.0,743035000.0,HBOR3
1184620000.0,136527000.0,,,6116000.0,117460000.0,111344000.0,228113000.0,HBTS5
9711000.0,592000.0,,,0.0,324582000.0,324582000.0,-383060000.0,HETA4
1843440000.0,1255610000.0,,,331874000.0,62320000.0,-269554000.0,1382520000.0,HGTX3
476269000.0,21363000.0,,,1103000.0,1517000.0,414000.0,-250296000.0,HOOT4
10841800000.0,3813750000.0,,,1387070000.0,532570000.0,-854497000.0,8641610000.0,HYPE3
66397000.0,4933000.0,,,3216000.0,0.0,-3216000.0,20705000.0,IDNT3
2356300000.0,,106099000.0,1395780000.0,,,,399193000.0,IDVL3
2356300000.0,,106099000.0,1395780000.0,,,,399193000.0,IDVL4
265992000.0,3157000.0,,,527000.0,920028000.0,919501000.0,-861333000.0,IGBR3
5628890000.0,1140810000.0,,,969584000.0,2378810000.0,1409230000.0,2987730000.0,IGTA3
1429640000.0,280702000.0,,,1135000.0,639855000.0,638720000.0,-1703920000.0,INEP3
1429640000.0,280702000.0,,,1135000.0,639855000.0,638720000.0,-1703920000.0,INEP4
0.0,0.0,,,0.0,0.0,0.0,0.0,IRBR3
67476000000.0,6381000000.0,,,3582000000.0,4155000000.0,573000000.0,55232000000.0,ITSA3
67476000000.0,6381000000.0,,,3582000000.0,4155000000.0,573000000.0,55232000000.0,ITSA4
182347000000.0,,0.0,0.0,,,,132244000000.0,ITUB3
182347000000.0,,0.0,0.0,,,,132244000000.0,ITUB4
191312000.0,7000.0,,,1000.0,4614000.0,4613000.0,68322000.0,JBDU3
191312000.0,7000.0,,,1000.0,4614000.0,4613000.0,68322000.0,JBDU4
122405000000.0,37049700000.0,,,7813530000.0,52913200000.0,45099700000.0,30703700000.0,JBSS3
1754150000.0,1412640000.0,,,16806000.0,619803000.0,602997000.0,336159000.0,JFEN3
5837930000.0,930319000.0,,,537104000.0,1206350000.0,669243000.0,3014130000.0,JHSF3
1865970000.0,1185620000.0,,,418006000.0,970280000.0,552274000.0,494790000.0,JOPA3
1865970000.0,1185620000.0,,,418006000.0,970280000.0,552274000.0,494790000.0,JOPA4
